User_ID,Frequency,Monetary,Avg_Purchase,Gender,Age,Occupation,City_Category,F_Score,M_Score,FM_Score,Segment
1000001,35,334093,9545.514285714286,F,0-17,10,A,2,2,4,At risk / low engagement
1000002,77,810472,10525.61038961039,M,55+,16,C,3,3,6,Loyal high-value
1000003,29,341635,11780.51724137931,M,26-35,15,A,2,2,4,At risk / low engagement
1000004,14,206468,14747.714285714286,M,46-50,7,B,1,1,2,At risk / low engagement
1000005,106,821001,7745.292452830188,M,26-35,20,A,3,3,6,Loyal high-value
1000006,47,379930,8083.617021276596,F,51-55,9,A,2,2,4,At risk / low engagement
1000007,17,234668,13804.0,M,36-45,1,B,1,1,2,At risk / low engagement
1000008,77,796593,10345.363636363636,M,26-35,12,C,3,3,6,Loyal high-value
1000009,58,594099,10243.086206896553,M,26-35,17,C,3,3,6,Loyal high-value
1000010,223,2169510,9728.744394618834,F,36-45,1,B,4,4,8,Champions
1000011,70,557023,7957.471428571429,F,26-35,1,C,3,3,6,Loyal high-value
1000012,11,120801,10981.90909090909,M,26-35,12,C,1,1,2,At risk / low engagement
1000013,60,713927,11898.783333333333,M,46-50,1,C,3,3,6,Loyal high-value
1000014,13,127629,9817.615384615385,M,36-45,0,C,1,1,2,At risk / low engagement
1000015,117,1047728,8954.940170940172,M,26-35,7,A,3,3,6,Loyal high-value
1000016,22,150490,6840.454545454545,F,36-45,0,C,1,1,2,At risk / low engagement
1000017,115,1425995,12399.95652173913,M,51-55,1,C,3,4,7,Loyal high-value
1000018,180,1979047,10994.705555555556,F,18-25,3,B,4,4,8,Champions
1000019,145,1458069,10055.64827586207,M,0-17,10,A,4,4,8,Champions
1000020,12,185747,15478.916666666666,M,26-35,14,A,1,1,2,At risk / low engagement
1000021,14,127099,9078.5,M,18-25,16,B,1,1,2,At risk / low engagement
1000022,156,1279914,8204.576923076924,M,18-25,15,A,4,4,8,Champions
1000023,171,1670998,9771.91812865497,M,36-45,0,B,4,4,8,Champions
1000024,77,720899,9362.324675324675,F,26-35,7,A,3,3,6,Loyal high-value
1000025,44,534706,12152.40909090909,M,18-25,4,C,2,3,5,Big spenders (infrequent)
1000026,226,1606174,7106.9646017699115,M,26-35,7,B,4,4,8,Champions
1000027,42,448934,10688.904761904761,M,26-35,11,C,2,2,4,At risk / low engagement
1000028,57,516560,9062.456140350878,F,26-35,1,C,3,2,5,Frequent low-value
1000029,52,696201,13388.48076923077,M,36-45,7,C,2,3,5,Big spenders (infrequent)
1000030,31,261584,8438.193548387097,F,36-45,7,C,2,2,4,At risk / low engagement
1000031,64,496154,7752.40625,M,55+,7,C,3,2,5,Frequent low-value
1000032,24,229049,9543.708333333334,F,26-35,0,C,1,1,2,At risk / low engagement
1000033,216,1940418,8983.416666666666,M,46-50,3,A,4,4,8,Champions
1000034,100,807983,8079.83,F,18-25,0,A,3,3,6,Loyal high-value
